Pot;Hauteur;Recouvrement;Mesure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;2.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;3.5;9;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;3.5;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;3;45;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
219;5.5;35;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;3;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;3;12;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222;3;20;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;1.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;2.5;15;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;3.5;9;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;5;15;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;2.5;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228;4.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
229;4;15;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230;3;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
231;2;20;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;4;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;3;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
