Pot;Hauteur;Recouvrement;Mesure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
630;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
645;0.1;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
659;3;8;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
660;2.5;27;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
661;0.1;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
663;3;7;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
664;2;3;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
667;2;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
685;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
699;2.5;8;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
700;2.5;25;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
701;0.1;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
703;2.5;7;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
704;2.5;4;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
710;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
